"","name","year","nominations","rating","duration","Action","Adventure","Biography","Comedy","Crime","Drama","Musical","Western","Family","Film-Noir","History","Mystery","Romance","Sport","War","director_name","actor_2_name","gross","actor_1_name","actor_3_name","plot_keywords","language","country","budget","Fantasy","Sci.Fi","Thriller","Documentary","Horror","Animation"
"1","TERMS OF ENDEARMENT",1983,11,7.4,132,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"2","KRAMER VS. KRAMER",1979,9,7.8,105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"3","IN THE HEAT OF THE NIGHT",1967,7,8,109,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"4","GIGI",1958,9,6.9,115,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"5","MARTY",1955,8,7.7,90,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"6","AN AMERICAN IN PARIS",1951,8,7.3,113,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"7","ALL ABOUT EVE",1950,14,8.3,138,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"8","GOING MY WAY",1944,10,7.3,126,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"9","MRS. MINIVER",1942,12,7.6,134,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"10","THE LIFE OF EMILE ZOLA",1937,10,7.3,116,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"11","THE GREAT ZIEGFELD",1936,7,6.8,176,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"12","MUTINY ON THE BOUNTY",1935,8,7.8,132,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"13","CAVALCADE",1933,4,6.1,112,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"14","GRAND HOTEL",1931,1,7.6,112,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"15","CIMARRON",1930,7,6,123,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"16","ALL QUIET ON THE WESTERN FRONT",1929,4,8.1,136,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"17","WINGS",1927,1,7.8,144,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Unknown","Unknown",46950472.923684,"Unknown","Unknown","Unknown","English","Unknown",36709867.3643241,0,0,0,0,0,0
"18","BIRDMAN",2014,9,7.8,119,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"Alejandro G. I??rritu","Naomi Watts",42335698,"Emma Stone","Merritt Wever","actor|artist|broadway play|replacement|stage","English","USA",1.8e+07,0,0,0,0,0,0
"19","12 YEARS A SLAVE",2013,9,8.1,134,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"Steve McQueen","Scoot McNairy",56667870,"Quvenzhan? Wallis","Taran Killam","racism|separation from family|social injustice|torture|whipping","English","USA",2e+07,0,0,0,0,0,0
"20","ARGO",2012,7,7.7,130,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"Ben Affleck","Scoot McNairy",136019448,"Clea DuVall","Tate Donovan","1970s|cia|f word|u.s. embassy|year 1979","English","USA",44500000,0,0,1,0,0,0
"21","THE ARTIST",2011,10,8,100,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"Michel Hazanavicius","Ed Lauter",44667095,"B?r?nice Bejo","Beth Grant","1920s|jack russell terrier|modern silent movie|movie star|movie studio","English","France",1.5e+07,0,0,0,0,0,0
"22","THE KING'S SPEECH",2010,12,8,118,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,"Tom Hooper","Jennifer Ehle",138795342,"Colin Firth","Derek Jacobi","king|king george vi|speech|speech therapist|throne","English","UK",1.5e+07,0,0,0,0,0,0
"23","THE HURT LOCKER",2008,9,7.6,131,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"Kathryn Bigelow","Christian Camargo",15700000,"Jeremy Renner","Brian Geraghty","army|bomb|dangerous job|death|iraq","English","USA",1.5e+07,0,0,1,0,0,0
"24","SLUMDOG MILLIONAIRE",2008,10,8,120,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Danny Boyle","Saurabh Shukla",141319195,"Anil Kapoor","Ayush Mahesh Khedekar","cheating|falling from height|murder|non professional cast|slum","English","UK",1.5e+07,0,0,0,0,0,0
